Lender_Name,Lender_Id,Lender_Operating_Country,Lender_Institution_Type,year,quarter
Bank Hapoalim BM,97263,Israel,"Asian Bank, Canadian Bank, European Bank, Farm Credit Bank, Multinational Investment Bank & Financial Services, US Bank",2021,1
Israel Discount Bank Ltd [IDB],98639,Israel,"Asian Bank, Canadian Bank, European Bank, Farm Credit Bank, Japanese Bank, Multinational Investment Bank & Financial Services, US Bank",2021,1
Mabrey Bank,126428,United States,"European Bank, US Bank",2021,1
Commerce Bank NA,52309,United States,"European Bank, US Bank",2021,1
Vast Bank,154183,United States,"European Bank, US Bank",2021,1
Firstbank Southwest,161577,United States,"European Bank, US Bank",2021,1
UMB Bank,52946,United States,US Bank,2021,1
Desjardins Capital Markets,103043,Canada,"Canadian Bank, Diversified Financial Services Company, European Bank, Multinational Investment Bank & Financial Services, US Bank",2021,1
BayernLB,10858,Germany,"Canadian Bank, European Bank, US Bank",2021,1
Customers Bank,113348,United States,"Business Corporation, Japanese Bank, Multinational Investment Bank & Financial Services, US Bank",2021,1
NBH Bank NA,113691,United States,"Business Corporation, Japanese Bank, Multinational Investment Bank & Financial Services, US Bank",2021,1
Hitachi Capital America Corp,115589,United States,"Business Corporation, Japanese Bank, Multinational Investment Bank & Financial Services, US Bank",2021,1
Jefferies Financial Group Inc,120870,United States,"Diversified Financial Services Company, Multinational Investment Bank & Financial Services, Private Equity, US Bank",2021,1
Swedbank AB [Ex-ForeningsSparbanken AB],12249,Sweden,"Canadian Bank, Diversified Financial Services Company, European Bank, Multinational Investment Bank & Financial Services, US Bank",2021,1
BancorpSouth Bank,122664,United States,"Canadian Bank, Multinational Investment Bank & Financial Services, US Bank",2021,1
TIAA FSB Holdings Inc,140299,United States,"Business Corporation, Japanese Bank, Multinational Investment Bank & Financial Services, US Bank",2021,1
First Financial Bank,77777,United States,US Bank,2021,1
Owl Rock Capital Corp,127196,United States,"Asset Manager, BDC",2021,1
JPMorgan Chase Bank National Association,108563,United States,"Canadian Bank, Multinational Investment Bank & Financial Services, US Bank",2021,1
Live Oak Bank,142907,United States,US Bank,2021,1
First Foundation Bank,144667,United States,"Business Corporation, Japanese Bank, Multinational Investment Bank & Financial Services, US Bank",2021,1
