rssdid,name,address,city,state,zipcode,year,quarter
981275,PREMIER BANK,275 W. FEDERAL STREET,YOUNGSTOWN,OH,43512,2021,1
981275,PREMIER BANK,275 W. FEDERAL STREET,YOUNGSTOWN,OH,43512,2021,2
981275,PREMIER BANK,275 W. FEDERAL STREET,YOUNGSTOWN,OH,43512,2021,3
981275,PREMIER BANK,275 W. FEDERAL STREET,YOUNGSTOWN,OH,43512,2021,4
981350,DICKINSON COUNTY BANK,101 SOUTH FACTORY STREET,ENTERPRISE,KS,67441,2021,1
981350,DICKINSON COUNTY BANK,101 SOUTH FACTORY STREET,ENTERPRISE,KS,67441,2021,2
981350,DICKINSON COUNTY BANK,101 SOUTH FACTORY STREET,ENTERPRISE,KS,67441,2021,3
981350,DICKINSON COUNTY BANK,101 SOUTH FACTORY STREET,ENTERPRISE,KS,67441,2021,4
981453,FARMERS STATE BANK OF HOFFMAN,103 MAIN AVE.,HOFFMAN,MN,56339,2021,1
981453,FARMERS STATE BANK OF HOFFMAN,103 MAIN AVE.,HOFFMAN,MN,56339,2021,2
981453,FARMERS STATE BANK OF HOFFMAN,103 MAIN AVE.,HOFFMAN,MN,56339,2021,3
981453,FARMERS STATE BANK OF HOFFMAN,103 MAIN AVE.,HOFFMAN,MN,56339,2021,4
982142,"CECILIAN BANK, THE",104 EAST MAIN STREET,CECILIA,KY,427249519,2021,1
982142,"CECILIAN BANK, THE",104 EAST MAIN STREET,CECILIA,KY,427249519,2021,2
982142,"CECILIAN BANK, THE",104 EAST MAIN STREET,CECILIA,KY,427249519,2021,3
982142,"CECILIAN BANK, THE",104 EAST MAIN STREET,CECILIA,KY,427249519,2021,4
982348,IOWA STATE BANK,1101 MAIN STREET,HULL,IA,51239,2021,1
982348,IOWA STATE BANK,1101 MAIN STREET,HULL,IA,51239,2021,2
982348,IOWA STATE BANK,1101 MAIN STREET,HULL,IA,51239,2021,3
982348,IOWA STATE BANK,1101 MAIN STREET,HULL,IA,51239,2021,4
982553,STOCKMENS BANK,"25 NORTH CASCADE AVENUE, SUITE 100",COLORADO SPRINGS,CO,80903,2021,1
982553,STOCKMENS BANK,"25 NORTH CASCADE AVENUE, SUITE 100",COLORADO SPRINGS,CO,80903,2021,2
982553,STOCKMENS BANK,"25 NORTH CASCADE AVENUE, SUITE 100",COLORADO SPRINGS,CO,80903,2021,3
982553,STOCKMENS BANK,"25 NORTH CASCADE AVENUE, SUITE 100",COLORADO SPRINGS,CO,80903,2021,4
982937,SEVIER COUNTY BANK,111 EAST  MAIN STREET,SEVIERVILLE,TN,37862,2021,1
982937,SEVIER COUNTY BANK,111 EAST  MAIN STREET,SEVIERVILLE,TN,37862,2021,2
983055,FIRST BANK OF BANCROFT,301 MAIN STREET,BANCROFT,NE,68004,2021,1
983055,FIRST BANK OF BANCROFT,301 MAIN STREET,BANCROFT,NE,68004,2021,2
