Lender_Name,Lender_Id,Lender_Operating_Country,Lender_Institution_Type,year,quarter,original,Match1_RSSD,Match1_Name,Match1_Status,Match1_Asset,Match1_Address,Match1_City,Match1_State,Match1_Zip,Match2_RSSD,Match2_Name,Match2_Status,Match2_Asset,Match2_Address,Match2_City,Match2_State,Match2_Zip
Citizens Financial Group,116754,United States,"Asset Manager, Canadian Bank, European Bank, US Bank",2021,1,Citizens Financial Group,163473,Citizens Financial Bank,Inactive,1117907.0,707 Ridge Road,Munster,IN,46321.0,891552,Citizens First Financial Bank,Inactive,89027.0,40 South Walnut Street,Dexter,MO,63841.0
Morgan Stanley Bank NA,103799,United States,"Asian Bank, Australian/New Zealand Bank, Canadian Bank, European Bank, Japanese Bank, Multinational Investment Bank & Financial Services, US Bank",2021,1,,,,,,,,,,,,,,,,,
HSBC Bank USA NA,50505,United States,"Asian Bank, Australian/New Zealand Bank, Canadian Bank, European Bank, Japanese Bank, Multinational Investment Bank & Financial Services, US Bank",2021,1,,,,,,,,,,,,,,,,,
Sunflower Bank,56663,United States,"Asset Manager, Canadian Bank, European Bank, US Bank",2021,1,Sunflower Bank,474759,"Sunflower Bank, National Association",Active,8482238.0,8117 Preston Rd,Dallas,TX,75225.0,,,,,,,,
BBVA Compass,57073,United States,"European Bank, US Bank",2021,1,BBVA Compass,817824,"PNC Bank, National Association",Active,563953196.0,222 Delaware Ave,Wilmington,DE,19801.0,940348,"PNC Bank, Kentucky, Inc.",Inactive,4877290.0,500 West Jefferson Street,Louisville,KY,40202.0
BankUnited NA,128659,United States,"Canadian Bank, Diversified Financial Services Company, European Bank, Multinational Investment Bank & Financial Services, US Bank",2021,1,,,,,,,,,,,,,,,,,
Hancock Whitney Bank,142472,United States,"Canadian Bank, Diversified Financial Services Company, European Bank, Multinational Investment Bank & Financial Services, US Bank",2021,1,Hancock Whitney Bank,463735,Hancock Whitney Bank,Active,35747114.0,2510 14th St,Gulfport,MS,39501.0,,,,,,,,
Bank of Oklahoma NA,20993,United States,"European Bank, US Bank",2021,1,,,,,,,,,,,,,,,,,
Fifth Third Bank,29604,United States,"Canadian Bank, Diversified Financial Services Company, European Bank, Multinational Investment Bank & Financial Services, US Bank",2021,1,Fifth Third Bank,976749,"FIFTH THIRD BANK, INDIANA",Inactive,2105919.0,120 Monument Circle,Indianapolis,IN,46204.0,723112,"Fifth Third Bank, National Association",Active,212207000.0,38 Fountain Square Plz,Cincinnati,OH,45202.0
First Midwest Bank,110446,United States,"Canadian Bank, Diversified Financial Services Company, European Bank, Multinational Investment Bank & Financial Services, US Bank",2021,1,First Midwest Bank,228158,First Midwest Bank of the Ozarks,Active,737702.0,704 N Westwood Blvd,Poplar Bluff,MO,63901.0,208244,Old National Bank,Active,70996954.0,1 Main St,Evansville,IN,47708.0
First Midwest Bank,110446,United States,"Canadian Bank, Diversified Financial Services Company, European Bank, Multinational Investment Bank & Financial Services, US Bank",2021,1,First Midwest Bank,228158,First Midwest Bank of the Ozarks,Active,737702.0,704 N Westwood Blvd,Poplar Bluff,MO,63901.0,208244,Old National Bank,Active,70996954.0,1 Main St,Evansville,IN,47708.0
KeyBank,51838,United States,"European Bank, Multinational Investment Bank & Financial Services, US Bank",2021,1,KeyBank,280110,KeyBank National Association,Active,184694965.0,127 Public Sq,Cleveland,OH,44114.0,43379,KeyBank National Association,Inactive,8098878.0,1119 Pacific Avenue,Tacoma,WA,98401.0
KeyBank,51838,United States,"European Bank, Multinational Investment Bank & Financial Services, US Bank",2021,1,KeyBank,280110,KeyBank National Association,Active,184694965.0,127 Public Sq,Cleveland,OH,44114.0,43379,KeyBank National Association,Inactive,8098878.0,1119 Pacific Avenue,Tacoma,WA,98401.0
KeyBank,51838,United States,"European Bank, Multinational Investment Bank & Financial Services, US Bank",2021,1,KeyBank,280110,KeyBank National Association,Active,184694965.0,127 Public Sq,Cleveland,OH,44114.0,43379,KeyBank National Association,Inactive,8098878.0,1119 Pacific Avenue,Tacoma,WA,98401.0
Synovus Bank,103840,United States,"Canadian Bank, Diversified Financial Services Company, European Bank, Multinational Investment Bank & Financial Services, US Bank",2021,1,Synovus Bank,395238,Synovus Bank,Active,60332869.0,33 W 14th St.,Columbus,GA,31901.0,2458119,Synovus Bank,Inactive,1334461.0,12450 Roosevelt Boulevard North,Saint Petersburg,FL,33716.0
First Horizon Bank,73447,United States,"Canadian Bank, Diversified Financial Services Company, European Bank, Multinational Investment Bank & Financial Services, US Bank",2021,1,First Horizon Bank,485559,First Horizon Bank,Active,82886598.0,165 Madison Ave,Memphis,TN,38103.0,,,,,,,,
South State Bank,116737,United States,"Canadian Bank, Multinational Investment Bank & Financial Services, US Bank",2021,1,South State Bank,74056,South Central State Bank,Active,186057.0,673 Broad St,Campbell,NE,68932.0,1929247,"SouthState Bank, National Association",Active,66027921.0,1101 1st St S,Winter Haven,FL,33880.0
Santander Bank NA,111453,United States,"Asian Bank, Business Corporation, European Bank, Japanese Bank, US Bank",2021,1,,,,,,,,,,,,,,,,,
Morgan Stanley Bank,92232,United States,"Asset Manager, Multinational Investment Bank & Financial Services, Other",2021,1,Morgan Stanley Bank,1456501,"Morgan Stanley Bank, National Association",Active,249681000.0,201 S Main St Fl 5,Salt Lake City,UT,84111.0,2489805,"Morgan Stanley Private Bank, National Association",Active,240201000.0,2000 Westchester Ave,Purchase,NY,10577.0
Morgan Stanley Bank,92232,United States,"Asset Manager, Multinational Investment Bank & Financial Services, Other",2021,1,Morgan Stanley Bank,1456501,"Morgan Stanley Bank, National Association",Active,249681000.0,201 S Main St Fl 5,Salt Lake City,UT,84111.0,2489805,"Morgan Stanley Private Bank, National Association",Active,240201000.0,2000 Westchester Ave,Purchase,NY,10577.0
Wintrust Financial Corp,42405,United States,"Canadian Bank, Multinational Investment Bank & Financial Services, US Bank",2021,1,,,,,,,,,,,,,,,,,
Umpqua Bank,60043,United States,US Bank,2021,1,Umpqua Bank,845377,Umpqua National Bank,Inactive,,Main Street,Reedsport,OR,97467.0,,,,,,,,
Western Alliance Bancorp,104660,United States,"Canadian Bank, Multinational Investment Bank & Financial Services, US Bank",2021,1,,,,,,,,,,,,,,,,,
Zions Bancorporation,120947,United States,"Canadian Bank, Multinational Investment Bank & Financial Services, US Bank",2021,1,Zions Bancorporation,276579,"Zions Bancorporation, N.A.",Active,88533079.0,1 S Main St,Salt Lake City,UT,84133.0,,,,,,,,
Vectra Banking Corp,66153,United States,"Canadian Bank, Multinational Investment Bank & Financial Services, US Bank",2021,1,,,,,,,,,,,,,,,,,
Zions Bank,72806,United States,"Canadian Bank, Multinational Investment Bank & Financial Services, US Bank",2021,1,Zions Bank,399375,Zions First National Bank of Ogden,Inactive,,2350 Washington Boulevard,Ogden,UT,84402.0,926379,Zions First National Bank of Cedar City,Inactive,,176 South Main Street,Cedar City,UT,84720.0
HomeTrust Bank,150365,United States,"Canadian Bank, Multinational Investment Bank & Financial Services, US Bank",2021,1,HomeTrust Bank,212577,HomeTrust Bank,Active,4591360.0,10 Woodfin St,Asheville,NC,28801.0,,,,,,,,
Ameris Bancorp,49355,United States,"Canadian Bank, Multinational Investment Bank & Financial Services, US Bank",2021,1,Ameris Bancorp,,,,,,,,,,,,,,,,
First National Bank of Pennsylvania,51959,United States,"Canadian Bank, Multinational Investment Bank & Financial Services, US Bank",2021,1,First National Bank of Pennsylvania,379920,First National Bank of Pennsylvania,Active,49665430.0,166 Main St,Greenville,PA,16125.0,,,,,,,,
First National Bank,52133,United States,"Canadian Bank, Multinational Investment Bank & Financial Services, US Bank",2021,1,First National Bank,388155,First Texoma National Bank,Active,221777.0,220 W Main St,Durant,OK,74701.0,236153,First International Bank & Trust,Active,5680943.0,100 N Main St,Watford City,ND,58854.0
